Date,jedi_return,bench_return,raw_position,position,strategy_return,equity,bench_equity,drawdown,bench_drawdown
2025-07-07,0.005855515880011114,0.006454508763436051,0.0,0.0,0.0,1.0,1.2988819143156158,0.0,-0.0032990666683081057
2025-07-08,-0.011748054039547503,-0.006989893163920282,0.0,0.0,-0.0,1.0,1.2898028685020013,0.0,-0.010265899708676344
2025-07-09,0.003650038310173126,0.011446362950599618,0.0,0.0,0.0,1.0,1.3045664202695997,0.0,0.0
2025-07-10,0.010629203531380178,-0.0013772624663381029,0.0,0.0,0.0,1.0,1.3027696899041172,0.0,-0.0013772624663381545
2025-07-11,-0.0006962276538053034,0.005972009841727781,0.0,0.0,-0.0,1.0,1.3105498433137293,0.0,0.0
2025-07-14,0.009884073942311307,0.020135226330722268,0.0,0.0,0.0,1.0,1.3369380610265438,0.0,0.0
2025-07-15,-0.014435522824046546,-0.0021712462243206306,0.0,0.0,-0.0,1.0,1.3340352393093893,0.0,-0.002171246224320686
2025-07-16,0.0033541177562719554,0.006242715240715174,0.0,0.0,0.0,1.0,1.342363241429477,0.0,0.0
2025-07-17,0.009220520091385739,0.007327944511131842,0.0,0.0,0.0,1.0,1.3522000047764553,0.0,0.0
2025-07-18,-0.003448858631391604,0.001275644979451491,0.0,0.0,-0.0,1.0,1.3539249319237627,0.0,0.0
2025-07-21,-0.005446816814067705,-0.007472718368176127,0.0,0.0,-0.0,1.0,1.3438074322158444,0.0,-0.007472718368176124
2025-07-22,-0.0011222880618723323,-0.012770660335805498,0.5021269208156285,0.5021269208156285,-0.0005635310487760938,0.999436468951224,1.3266461239422849,-0.0005635310487760448,-0.020147947155916533
2025-07-23,0.03378724335531915,0.024212842908743402,0.5021269208156285,0.5021269208156285,0.016965484468854708,1.016392392842823,1.3587679981367926,0.0,0.0
2025-07-24,-0.004804178417234211,-0.00025401966005863933,0.5021269208156285,0.5021269208156285,-0.002412307315694714,1.0139405420379517,1.3584228443518074,-0.0024123073156947193,-0.0002540196600586132
2025-07-25,0.00016032925284656607,0.007238549008674002,0.5021269208156285,0.5021269208156285,8.050563404851656e-05,1.0140221699641758,1.3682558546851502,-0.0023319958859763065,0.0
2025-07-28,-0.01290237308861603,-0.0011102122364759837,0.5021269208156285,0.5021269208156285,-0.006478628870201197,1.0074526966588218,1.3667368002926488,-0.008795516620305519,-0.0011102122364760427
2025-07-29,0.004001450728142395,-0.004149034439860306,0.5021269208156285,0.5021269208156285,0.002009236132917595,1.0094769070191538,1.3610661622380102,-0.006803952757189223,-0.005254640367531542
2025-07-30,-0.0032363304398437933,0.007123685206676429,0.5021269208156285,0.5021269208156285,-0.0016250486385006526,1.0078364579458046,1.370761969123253,-0.008417944641525317,0.0
2025-07-31,0.01008834481425355,-0.010322993827762562,0.5021269208156285,0.5021269208156285,0.005065629517707449,1.0129417840561965,1.356611601776662,-0.0033949573126724557,-0.010322993827762587
2025-08-01,-0.0006506598753543682,-0.0041796210233198145,0.5021269208156285,0.5021269208156285,-0.00032671383970996954,1.012610841956525,1.3509414794053967,-0.003720561972843035,-0.014459468649056359
2025-08-04,0.004744591000488918,0.010820823096138235,0.5021269208156285,0.5021269208156285,0.0023823868696050427,1.015023272730422,1.3655597781672777,-0.0013470389212295014,-0.003795108905233748
2025-08-05,0.01414721159449898,-0.0018713220957222402,0.5021269208156285,0.5021269208156285,0.00710369579607293,1.0222336892858332,1.3630043759813637,0.0,-0.0056593291298059544
2025-08-06,0.002048050013560006,-0.0006582713127192994,0.5021269208156285,0.5021269208156285,0.001028381046985292,1.0232849350374846,1.3621071493015442,0.0,-0.0063138750685099426
2025-08-07,-0.004141811542284981,-0.00228207912246907,0.5021269208156285,0.5021269208156285,-0.002079715076326187,1.0211567939307098,1.3589987130135572,-0.0020797150763261084,-0.00858154542850332
2025-08-08,-0.003908457937120609,-0.0025928290070312047,0.5021269208156285,0.5021269208156285,-0.0019625419491037747,1.0191527308860084,1.3554750617299376,-0.004038175497350426,-0.011152123955622359
2025-08-11,0.000314689595990865,-0.0009676727221094412,0.5021269208156285,0.5021269208156285,0.00015801411784760718,1.0193137714057314,1.354163405487202,-0.0038807994682416923,-0.01210900507158627
2025-08-12,0.003353487003754179,0.01003824612078139,0.5021269208156285,0.5021269208156285,0.0016838761031903139,1.0210301695070543,1.3677568310392378,-0.0022034581505372816,-0.002192312123991418
2025-08-13,0.012938670589642626,-0.007239725993132046,0.5021269208156285,0.5021269208156285,0.006496854822624984,1.0276636542878617,1.3578546463572791,0.0,-0.009416166378054348
2025-08-14,-0.010278820999107869,-0.004175073939612139,0.5021269208156285,0.5021269208156285,-0.005161272737897056,1.022359601885258,1.3521855028094916,-0.005161272737897017,-0.013551927126810456
2025-08-15,-0.0008863324321407645,-0.004653938116873809,0.5021269208156285,0.5021269208156285,-0.00044505137496986903,1.0219045993387255,1.3458925151568824,-0.0056040270813382444,-0.018142795413471666
2025-08-18,0.0032000138837205198,0.004347675473618454,0.5021269208156285,0.5021269208156285,0.0016068131179998453,1.0235466090542873,1.3517440190351566,-0.004006218587566328,-0.013873998926495214
2025-08-19,0.00018566430907368338,-0.013824450920352442,0.5021269208156285,0.5021269208156285,9.32270478205298e-05,1.023642031282956,1.333056900187125,-0.003913365027677829,-0.02750664942961934
2025-08-20,0.007768664701550416,0.005521833569385956,0.4640374710567253,0.4640374710567253,0.0036049515215951047,1.027332211181198,1.3404178185284799,-0.00032252099729394856,-0.022136703000435246
2025-08-21,0.00041163865693946206,0.0033396213679027574,0.4640374710567253,0.4640374710567253,0.0001910157613553749,1.0275284478256816,1.344894306517155,-0.00013156684253245202,-0.018871009838887762
2025-08-22,0.003987488025468012,0.004350345698317524,0.4640374710567253,0.4640374710567253,0.0018503438592071516,1.0294297287792766,1.3507450616782037,0.0,-0.014602759557045694
2025-08-25,-0.0010921646498231975,-0.0023007480328752624,0.484894404334341,0.484894404334341,-0.0005295845273110435,1.0288845587229611,1.3476373376346316,-0.0005295845273110266,-0.01686991031959559
2025-08-26,0.01017133052915995,0.023373313126268096,0.4640374710567253,0.4640374710567253,0.004719878496033446,1.0337407688265785,1.3791360871078162,0.0,0.0
